TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Demo Checklist Template:,4,1,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Qualify Demo,2,2,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Confirm Products to Demo,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Find out information on the customer and their pain points,3,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Review Opportunity,3,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Review account page,4,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Review Customer website,3,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Perform Demo,2,2,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Log meeting on opportunity,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Confirm I am the assigned IM SE,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
