TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,CBP POC Checklist Template:,4,1,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Qualify POC,2,2,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Confirm if it is a partner led POC or not,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Review Opportunity,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Confirm that the Opportunity on Salesforce is on S2 Convince,3,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Confirm ACV Value over 7.5K,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Confirm duration of POC,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Confirm number of users,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Confirm Success Criteria,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Provision Licenses,2,2,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Create CB Protection Evaluation Record,4,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Open Opportunity Page and Installation Record in 2 Tabs,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Enter Installation Name (Opportunity name and POC),4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Add Account,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Set Installation Type to Bit9 Platform,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Set Product to the latest version,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Set License Type to Evaluation,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Enter in Number of License,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Set Account Type to Partner or Prospect,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Set Status to New,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Set Eval Start date,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Set Eval Phase to Phase 0 - Eval Preparation,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Set Assigned SE,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Set License Expiration,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Enter In Success Criteria,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Enter In Next Steps,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Save the installation record,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Link the Installation on the Opportunity page and save,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Select Generate Bit9 Key,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Select Generate Bit9 License,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Download License File from Attachments,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Send Pre-Evaluation Information Email,2,2,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Perform POC,2,2,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Log POC meeting,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Update Installation Record on Salesforce,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Set Status to In-progress,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Set Eval Phase to Phase 1 - Sensors Installed,4,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Follow up on POC,3,2,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,First follow up POC call,3,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Log First follow up call,3,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Second follow up POC call,3,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Log Second follow up call,3,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Wrap up Call,3,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Log Wrap up Call,3,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,POC License Expiry,3,2,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Close Evaluation,3,2,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Confirm that no tamper protection is on,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,"Close instance, update evaluation stage and technical win",3,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Speak to Aleks or Rob to deprovision the instance,3,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
